Hanja	CJK Unified Ideographs	4E00-9FFF
Yi	Yi Syllables	A000-A48F
Yi	Yi Radicals	A490-A4CF
Lisu	Lisu	A4D0-A4FF
Vai	Vai	A500-A63F
Cyrillic	Cyrillic Extended-B	A640-A69F
Bamum	Bamum	A6A0-A6FF
Modifier Tone Letters	Modifier Tone Letters	A700-A71F
Latin	Latin Extended-D	A720-A7FF
Syloti Nagri	Syloti Nagri	A800-A82F
Common Indic Number Forms	Common Indic Number Forms	A830-A83F
Phags-pa	Phags-pa	A840-A87F
Saurashtra	Saurashtra	A880-A8DF
Devanagari	Devanagari Extended	A8E0-A8FF
Kayah Li	Kayah Li	A900-A92F
Rejang	Rejang	A930-A95F
Hangul	Hangul Jamo Extended-A	A960-A97F
Javanese	Javanese	A980-A9DF
Myanmar	Myanmar Extended-B	A9E0-A9FF
Cham	Cham	AA00-AA5F
Myanmar	Myanmar Extended-A	AA60-AA7F
Tai Viet	Tai Viet	AA80-AADF
Meetei Mayek	Meetei Mayek Extensions	AAE0-AAFF
Ethiopic	Ethiopic Extended-A	AB00-AB2F
Latin	Latin Extended-E	AB30-AB6F
Cherokee	Cherokee Supplement	AB70-ABBF
Meetei Mayek	Meetei Mayek	ABC0-ABFF
Hangul	Hangul Syllables	AC00-D7AF
Hangul	Hangul Jamo Extended-B	D7B0-D7FF
Hanja	CJK Compatibility Ideographs	F900-FAFF
Alphabetic Presentation Forms	Alphabetic Presentation Forms	FB00-FB4F
Arabic Presentation Forms-A	Arabic Presentation Forms-A	FB50-FDFF
Variation Selectors	Variation Selectors	FE00-FE0F
Vertical Forms	Vertical Forms	FE10-FE1F
Combining Half Marks	Combining Half Marks	FE20-FE2F
Hanja	CJK Compatibility Forms	FE30-FE4F
Small Form Variants	Small Form Variants	FE50-FE6F
Arabic Presentation Forms-B	Arabic Presentation Forms-B	FE70-FEFF
Halfwidth and Fullwidth Forms	Halfwidth and Fullwidth Forms	FF00-FFEF
Specials	Specials	FFF0-FFFF
Linear B Syllabary	Linear B Syllabary	10000-1007F
Linear B Ideograms	Linear B Ideograms	10080-100FF
Aegean Numbers	Aegean Numbers	10100-1013F
Ancient Greek Numbers	Ancient Greek Numbers	10140-1018F
Ancient Symbols	Ancient Symbols	10190-101CF
Phaistos Disc	Phaistos Disc	101D0-101FF
Lycian	Lycian	10280-1029F
Carian	Carian	102A0-102DF
Coptic Epact Numbers	Coptic Epact Numbers	102E0-102FF
Old Italic	Old Italic	10300-1032F
Gothic	Gothic	10330-1034F
Old Permic	Old Permic	10350-1037F
Ugaritic	Ugaritic	10380-1039F
Old Persian	Old Persian	103A0-103DF
Deseret	Deseret	10400-1044F
Shavian	Shavian	10450-1047F
Osmanya	Osmanya	10480-104AF
Osage	Osage	104B0-104FF
Elbasan	Elbasan	10500-1052F
Caucasian Albanian	Caucasian Albanian	10530-1056F
Linear A	Linear A	10600-1077F
Cypriot Syllabary	Cypriot Syllabary	10800-1083F
Imperial Aramaic	Imperial Aramaic	10840-1085F
Palmyrene	Palmyrene	10860-1087F
Nabataean	Nabataean	10880-108AF
Hatran	Hatran	108E0-108FF
Phoenician	Phoenician	10900-1091F
Lydian	Lydian	10920-1093F
Meroitic Hieroglyphs	Meroitic Hieroglyphs	10980-1099F
Meroitic Cursive	Meroitic Cursive	109A0-109FF
Kharoshthi	Kharoshthi	10A00-10A5F
Old South Arabian	Old South Arabian	10A60-10A7F
Old North Arabian	Old North Arabian	10A80-10A9F
Manichaean	Manichaean	10AC0-10AFF
Avestan	Avestan	10B00-10B3F
Inscriptional Parthian	Inscriptional Parthian	10B40-10B5F
Inscriptional Pahlavi	Inscriptional Pahlavi	10B60-10B7F
Psalter Pahlavi	Psalter Pahlavi	10B80-10BAF
Old Turkic	Old Turkic	10C00-10C4F
Old Hungarian	Old Hungarian	10C80-10CFF
Hanifi Rohingya	Hanifi Rohingya	10D00-10D3F
Rumi Numeral Symbols	Rumi Numeral Symbols	10E60-10E7F
Yezidi	Yezidi	10E80-10EBF
Old Sogdian	Old Sogdian	10F00-10F2F
Sogdian	Sogdian	10F30-10F6F
Chorasmian	Chorasmian	10FB0-10FDF
Elymaic	Elymaic	10FE0-10FFF
Brahmi	Brahmi	11000-1107F
Kaithi	Kaithi	11080-110CF
Sora Sompeng	Sora Sompeng	110D0-110FF
Chakma	Chakma	11100-1114F
Mahajani	Mahajani	11150-1117F
Sharada	Sharada	11180-111DF
Sinhala Archaic Numbers	Sinhala Archaic Numbers	111E0-111FF
Khojki	Khojki	11200-1124F
Multani	Multani	11280-112AF
Khudawadi	Khudawadi	112B0-112FF
Grantha	Grantha	11300-1137F
Newa	Newa	11400-1147F
Tirhuta	Tirhuta	11480-114DF
Siddham	Siddham	11580-115FF
Modi	Modi	11600-1165F
Mongolian	Mongolian Supplement	11660-1167F
Takri	Takri	11680-116CF
Ahom	Ahom	11700-1173F
Dogra	Dogra	11800-1184F
Warang Citi	Warang Citi	118A0-118FF
Dives Akuru	Dives Akuru	11900-1195F
Nandinagari	Nandinagari	119A0-119FF
Zanabazar Square	Zanabazar Square	11A00-11A4F
Soyombo	Soyombo	11A50-11AAF
Pau Cin Hau	Pau Cin Hau	11AC0-11AFF
Bhaiksuki	Bhaiksuki	11C00-11C6F
Marchen	Marchen	11C70-11CBF
Masaram Gondi	Masaram Gondi	11D00-11D5F
Gunjala Gondi	Gunjala Gondi	11D60-11DAF
Makasar	Makasar	11EE0-11EFF
Lisu	Lisu Supplement	11FB0-11FBF
Tamil	Tamil Supplement	11FC0-11FFF
Cuneiform	Cuneiform	12000-123FF
Cuneiform	Cuneiform Numbers and Punctuation	12400-1247F
Early Dynastic Cuneiform	Early Dynastic Cuneiform	12480-1254F
Egyptian Hieroglyphs	Egyptian Hieroglyphs	13000-1342F
Egyptian Hieroglyphs	Egyptian Hieroglyph Format Controls	13430-1343F
Anatolian Hieroglyphs	Anatolian Hieroglyphs	14400-1467F
Bamum Supplement	Bamum Supplement	16800-16A3F
Mro	Mro	16A40-16A6F
Bassa Vah	Bassa Vah	16AD0-16AFF
Pahawh Hmong	Pahawh Hmong	16B00-16B8F
Medefaidrin	Medefaidrin	16E40-16E9F
Miao	Miao	16F00-16F9F
Ideographic Symbols and Punctuation	Ideographic Symbols and Punctuation	16FE0-16FFF
Tangut	Tangut	17000-187FF
Tangut	Tangut Components	18800-18AFF
Khitan Small Script	Khitan Small Script	18B00-18CFF
Tangut	Tangut Supplement	18D00-18D8F
Kana	Kana Supplement	1B000-1B0FF
Kana	Kana Extended-A	1B100-1B12F
Kana	Small Kana Extension	1B130-1B16F
Nushu	Nushu	1B170-1B2FF
Duployan	Duployan	1BC00-1BC9F
Shorthand Format Controls	Shorthand Format Controls	1BCA0-1BCAF
Byzantine Musical Symbols	Byzantine Musical Symbols	1D000-1D0FF
Musical Symbols	Musical Symbols	1D100-1D1FF
Ancient Greek Musical Notation	Ancient Greek Musical Notation	1D200-1D24F
Mayan Numerals	Mayan Numerals	1D2E0-1D2FF
Tai Xuan Jing Symbols	Tai Xuan Jing Symbols	1D300-1D35F
Counting Rod Numerals	Counting Rod Numerals	1D360-1D37F
Mathematical Alphanumeric Symbols	Mathematical Alphanumeric Symbols	1D400-1D7FF
Sutton SignWriting	Sutton SignWriting	1D800-1DAAF
Glagolitic	Glagolitic Supplement	1E000-1E02F
Nyiakeng Puachue Hmong	Nyiakeng Puachue Hmong	1E100-1E14F
Wancho	Wancho	1E2C0-1E2FF
Mende Kikakui	Mende Kikakui	1E800-1E8DF
Adlam	Adlam	1E900-1E95F
Indic Siyaq Numbers	Indic Siyaq Numbers	1EC70-1ECBF
Ottoman Siyaq Numbers	Ottoman Siyaq Numbers	1ED00-1ED4F
Arabic Mathematical Alphabetic Symbols	Arabic Mathematical Alphabetic Symbols	1EE00-1EEFF
Mahjong Tiles	Mahjong Tiles	1F000-1F02F
Domino Tiles	Domino Tiles	1F030-1F09F
