사드(THAAD)	0.684256	167	-1.73976
연방수사국(FBI)	0.675432	49	-1.08377
연방수사국	0.675432	49	-1.08377
컷오프	0.673655	333	-0.927278
전국위원회(DNC)	0.673571	59	-2.01997
전국위원회	0.673571	59	-2.01997
=AFP연합뉴스	0.666077	10	-2.50352
청와대사진기자단	0.659465	67	-2.72493
특별위원회	0.656875	415	-1.41125
예산결산특별위원회	0.654602	101	-2.60046
힐러리	0.65375	3454	-2.53677
주둔군지위협정(SOFA)	0.652012	16	-1.91088
주둔군지위협정	0.652012	16	-1.91088
전국경제인연합회(전경련)	0.651189	13	-0.422894
럽정상회의(아셈·ASEM)	0.650753	4	-2.84957
월스트리트저널	0.649182	83	-1.14014
세계무역기구(WTO)	0.648305	21	-2.33602
혁신비대위원장	0.647313	241	-2.55853
월스트리트저널(WSJ)	0.644058	27	-1.98448
비대위원장	0.642166	1930	-2.31688
됐습니다.이	0.641454	115	-2.26112
미사일방어체계(MD)	0.631344	24	-0.328245
원내수석부대표	0.624105	615	-1.15494
입니다.새누리당	0.614236	60	-2.65158
500~600km	0.613416	32	-2.67964
TF(태스크포스)	0.610103	11	-1.29226
친박계	0.610028	3954	-1.76343
훙샹그룹	0.606879	24	-1.33083
객원해설위원	0.60136	263	-2.4756
특정범죄가중처벌등에관한법률	0.598489	4	-2.28829
식품의약품안전처	0.59757	27	-1.69971
민주평화국민연대(민평련)	0.596456	8	-2.29009
민주평화국민연대	0.596456	8	-2.29009
경제정의실천시민연합	0.595474	18	-2.2279
공무상비밀누설죄	0.595435	17	-1.81813
입니다.더불어민주당	0.592368	30	-2.26131
미사일방어(MD)	0.591252	75	-2.5683
미사일방어	0.591252	75	-2.5683
했습니다.트럼프	0.590753	59	-0.493854
예산결산특별위원장	0.590333	35	-1.05281
코리아에이드	0.585608	49	-1.28905
민정수석	0.584893	2997	-1.48793
투기자본감시센터	0.582122	23	-0.242093
법학전문대학원(로스쿨)	0.580351	11	-2.7444
법학전문대학원	0.580351	11	-2.7444
습니다.[앵커]더불어민주당	0.578896	6	-2.99126
했군요?[기자]	0.577411	32	-2.07157
죠.[앵커]	0.577095	67	-2.804
했습니다.미국	0.575981	78	-2.32422
케이디코퍼레이션	0.575524	9	-1.14759
[앵커]더불어민주당	0.57375	43	-2.69921
습니다.김	0.573662	739	-2.27727
군사정보보호협정	0.572263	87	-2.52274
북한인권조사위원회(COI)	0.572043	7	-2.77314
북한인권조사위원회	0.572043	7	-2.77314
했습니다.조	0.571357	163	-2.17425
심문(영장실질심사)	0.568531	31	-2.41161
니다.][앵커]	0.567752	55	-2.98898
민생경제현안점검회의	0.566522	41	-1.53986
잠수함발사탄도미사일	0.565085	147	-0.0373396
문화체육관광부	0.564531	245	-2.35097
추가경정예산안	0.564317	117	-2.65612
여소야대(與小野大)	0.563803	14	-2.29078
세컨더리보이콧	0.561756	14	-2.15609
자치분권민주지도자회의	0.556789	8	-2.61024
직권남용권리행사방해죄	0.555464	8	-1.43217
VIP(대통령)	0.553923	16	-2.53212
±3.1%p	0.552113	12	-1.14328
전국위원회(RNC)	0.550471	18	-2.04008
했습니다.정	0.550227	192	-1.45748
전미총기협회(NRA)	0.548235	7	-0.607991
전미총기협회	0.548235	7	-0.607991
[앵커]새누리당	0.547669	138	-2.04059
햇볕정책	0.547216	78	-2.31046
한국개발연구원(KDI)	0.545954	8	-2.0474
북한인권위원회(HRNK)	0.542821	4	-2.73844
북한인권위원회	0.542821	4	-2.73844
지방교육재정교부금	0.541927	47	-2.82273
대량살상무기(WMD)	0.541844	22	-2.44893
대량살상무기	0.541844	22	-2.44893
패트리엇(PAC)-3	0.541835	8	-2.76683
멜라니아	0.5414	208	-0.678446
민주사회를위한변호사모임	0.541239	12	-1.42808
그랜드코리아레저(GKL)	0.53917	4	-2.79522
그랜드코리아레저	0.53917	4	-2.79522
한일군사정보보호협정	0.53896	31	-2.6857
미래창조과학방송통신위	0.533577	72	-1.92028
히스패닉	0.53281	205	-2.08215
양해각서(MOU)	0.532733	31	-1.15665
양해각서	0.532733	31	-1.15665
보도합니다.[기자]북한	0.529136	34	-1.85918
이슬람국가(IS)	0.527875	38	-0.862681
이슬람국가	0.527875	38	-0.862681
시민참여센터(KACE)	0.527549	6	-2.47842
시민참여센터	0.527549	6	-2.47842
한반도평화교섭본부장	0.526885	52	-1.35477
했습니다.중국	0.526407	56	-2.06414
있습니까?[인터뷰]	0.52567	17	-2.58906
창조경제추진단장	0.525245	32	-2.07465
북한이탈주민정착지원사무소	0.52427	8	0.138871
추가경정예산(추경)안	0.523745	7	-2.94835
홍보수석	0.521907	573	-1.71335
킬로톤	0.518166	128	-1.71226
민족화해협력범국민협의회	0.514299	10	-1.39447
혁신비대위	0.513993	624	-1.81052
친노(친노무현)	0.513775	62	-0.706637
친노	0.513775	62	-0.706637
