Fate/Zero	0.929398	160	1.55275	2.66361	0.446072	0.50376	0.779046	0.325793	0.208944	0.399783	0.270105
ation	0.914587	2109	2.34634	2.65004	0.394146	0.373185	0.292498	0.347558	0.137719	0.245602	0.273
시리즈	0.892336	13100	2.06195	2.81626	0.614827	0.249934	0.767323	0.302754	0.141064	0.234344	0.256844
함으로써	0.890301	488	4.51275	1.56598	0.46017	0.273773	0.24056	0.324345	0.170984	0.293342	0.195072
VOCALOID	0.886924	190	1.54721	2.55847	0.443278	0.505452	0.458502	0.270125	0.202341	0.378152	0.233148
https://	0.877224	130	1.99031	2.19396	0.457096	0.439496	0.302694	0.263121	0.217415	0.340541	0.253275
업그레이드	0.870947	1853	1.49691	2.99905	0.355669	0.545464	0.873932	0.274659	0.363021	0.333075	0.268613
컨페더레이션스컵	0.870265	59	1.38629	2.33512	0.507934	0.529273	0.579076	0.438146	0.256575	0.540866	0.310236
다(...)	0.868729	2845	3.5745	1.49563	0.479495	0.338891	0.193568	0.302773	0.132035	0.212389	1.17598
번째	0.866226	7098	2.76094	2.05668	0.781632	0.195166	0.328561	0.252324	0.118124	0.219252	0.225358
월드컵	0.850392	4563	1.63208	2.39503	0.821341	0.264875	0.252125	0.242615	0.13554	0.230407	0.195586
BABYMETAL	0.847154	75	1.62762	2.50778	0.466186	0.445207	0.503817	0.326546	0.243672	0.41955	0.329428
Construct	0.846186	200	1.49854	2.49878	0.466893	0.484007	0.608794	0.304627	0.200048	0.342925	0.454781
멕시코	0.841527	1256	1.66415	2.85461	0.182152	0.972514	0.710704	0.333103	0.148157	0.30852	0.195797
Technology	0.835612	41	1.64905	2.29184	0.486021	0.454916	0.575941	0.464078	0.277954	0.587523	0.34123
푸에르토리코	0.826091	120	1.70855	2.82953	0.316382	0.540101	1.2002	0.437994	0.221403	0.478955	0.261596
CIRCULATION	0.823081	53	1.38629	2.29455	0.52806	0.490011	0.72333	0.425945	0.262711	0.546229	0.318529
Electronic	0.822254	127	1.82346	1.67297	0.530009	0.508556	0.309295	0.299233	0.218472	0.375758	0.255416
몬스터	0.821811	3480	1.67467	2.95643	0.222624	0.745594	0.78503	0.286895	0.128969	0.259029	0.320794
Operation	0.817712	168	1.68667	2.05794	0.457597	0.51482	0.322929	0.282748	0.206925	0.354643	0.239799
패턴	0.811991	8121	2.03517	2.63058	0.585297	0.259134	0.286582	0.277918	0.12609	0.2171	0.334562
되었	0.8108	45321	4.04588	1.14389	0.4381	0.399892	0.128164	0.115568	0.0969782	0.142359	0.123506
YOSHITAKA	0.805823	97	1.38629	2.36601	0.425059	0.577987	0.670263	0.584185	0.272003	0.532664	0.48074
beatmania	0.797503	486	1.48023	1.63898	0.508489	0.646471	0.292996	0.265978	0.171134	0.303403	0.193994
(~2016년):	0.796123	53	3.78719	1.38629	0.39488	0.38401	0.387877	0.330032	0.262441	0.441911	0.316552
컨셉	0.793043	1171	1.5727	2.74311	0.796057	0.230921	0.313108	0.28216	0.165487	0.28249	0.249413
(~2012년):	0.79062	56	3.7096	1.38629	0.397607	0.386662	0.38162	0.325214	0.259313	0.434378	0.31201
0||0||0||0||	0.78833	119	1.56025	1.56025	0.63749	0.507981	0.309663	0.268704	0.221306	0.348739	0.258572
||0||0||0||0	0.78833	119	1.56025	1.56025	0.507981	0.63749	0.309663	0.268704	0.221306	0.348739	0.258572
챔피언십	0.78492	300	1.4571	2.38687	0.469272	0.480928	0.350474	0.318255	0.186116	0.324695	0.25014
Happiness	0.775782	35	1.70207	2.62339	0.390641	0.444756	0.715936	0.505021	0.287826	0.690762	0.356903
://youtu.be/	0.773826	116	1.53471	1.53471	0.601371	0.546318	0.311727	0.270354	0.222451	0.35117	0.260136
다.(...)	0.773388	963	3.3559	1.50327	0.452457	0.338824	0.204745	0.1986	0.153482	0.229867	0.221992
GITADORA	0.771883	249	1.71935	2.12553	0.430388	0.490749	0.441116	0.27325	0.192146	0.338338	0.242568
Corporation	0.768393	44	1.5397	2.2173	0.467951	0.480977	0.457346	0.595064	0.273636	0.569547	0.526897
웹툰	0.766172	341	1.84972	2.58017	0.588946	0.272582	0.357502	0.3636	0.181719	0.325567	0.367499
EZ2AC/라디오채널과	0.764481	120	1.56862	1.56862	0.54305	0.572129	0.308992	0.268167	0.220933	0.347948	0.258062
대학수학능력시험	0.763203	167	1.38629	2.64935	0.568273	0.365669	0.424304	0.366943	0.207158	0.397705	0.308824
Collection	0.762587	110	1.38629	2.35311	0.476181	0.49093	0.429954	0.306232	0.225032	0.36905	0.323187
Electronics	0.756157	29	1.60929	2.1635	0.462653	0.469423	0.725697	0.469595	0.299921	0.672391	0.374063
Universe	0.752817	92	1.83778	2.48085	0.349075	0.473017	0.742573	0.395119	0.233515	0.495322	0.277497
적으로	0.75123	21022	4.10328	1.65206	0.226554	0.489155	0.154139	0.178564	0.117543	0.177619	0.123618
했다(...)	0.749825	201	3.76338	1.54785	0.348475	0.369386	0.306959	0.418141	0.199839	0.343887	1.32225
Nightmare	0.746658	67	1.64932	2.5521	0.382684	0.463531	0.615372	0.36614	0.249692	0.496935	0.299229
Production	0.746107	62	1.66795	2.06611	0.446792	0.484573	0.42189	0.317114	0.253728	0.434982	0.303968
Platinum	0.741113	126	1.59661	2.46507	0.431915	0.435972	0.46036	0.301153	0.218957	0.393165	0.25589
Evolution	0.737923	69	1.73114	2.40431	0.409426	0.433024	0.46185	0.461523	0.248081	0.504692	0.340273
Transport	0.737187	57	1.748	2.45982	0.399092	0.429595	0.457081	0.380775	0.258612	0.439054	0.434118
Apocalypse	0.723624	37	1.84591	2.34174	0.398601	0.419977	0.585777	0.48223	0.284333	0.61381	0.351146
Enlightened	0.722424	35	1.55998	1.9485	0.49687	0.478335	0.570345	0.370063	0.287591	0.531624	0.353797
Lightning	0.720716	46	1.59269	2.29166	0.450258	0.438553	0.545756	0.404572	0.270926	0.558174	0.329931
Windows	0.719232	490	1.49685	1.9032	0.443328	0.569484	0.411912	0.270221	0.170881	0.298483	0.223499
tp://youtu.b	0.717686	106	1.44456	1.44456	0.634011	0.542457	0.319203	0.276314	0.22657	0.359988	0.265787
Anonymous	0.7166	41	1.71668	2.74485	0.398444	0.381682	1.53722	0.419884	0.277862	0.62813	0.34045
싱글	0.714393	3757	1.6671	2.93811	0.273455	0.533362	0.274361	0.2718	0.127811	0.231398	0.269795
TECHNIKA	0.71019	696	1.38629	1.88799	0.498464	0.544361	0.382931	0.252524	0.16159	0.280468	0.181917
Processing	0.709062	31	1.48408	2.26148	0.470893	0.448654	0.581323	0.422023	0.295442	0.556428	0.431749
EZ2DJ	0.708953	1345	1.53678	2.08901	0.560496	0.393997	0.41626	0.230788	0.146422	0.256447	0.191042
http://youtu	0.70629	106	1.44456	1.44456	0.581806	0.581743	0.319203	0.276314	0.22657	0.359988	0.265787
Infinity	0.704311	78	1.53825	2.59755	0.43354	0.406577	0.806865	0.433875	0.241749	0.494454	0.361269
(Advanced	0.700275	33	3.05203	1.53091	0.414104	0.361928	0.45087	0.375734	0.291296	0.51637	0.359513
Remix	0.699578	787	1.67873	2.08023	0.524867	0.381675	0.293055	0.258029	0.158359	0.268492	0.212371
됨으로써	0.698998	93	3.58265	1.62184	0.264813	0.45428	0.342767	0.46505	0.232923	0.453828	0.278046
떡밥	0.698143	637	1.50562	2.58357	0.357263	0.502366	0.335989	0.321867	0.164221	0.30178	0.322607
big.LITTLE	0.696839	26	1.60416	2.07863	0.426386	0.490121	0.549188	0.445624	0.307103	0.577119	0.457118
함께	0.695593	7344	1.43603	1.66662	0.941176	0.308805	0.190611	0.237342	0.252056	0.23516	0.179789
||0||0||0||	0.694167	191	1.2016	1.41502	0.638953	0.638953	0.27531	0.240992	0.201739	0.310496	0.232248
